1011,5.9,30.3
1012,5.5,24.9
1013,12.6,28.7
1014,0.1,null
1015,9.5,31.1
1016,7.0,32.2
1017,7.8,38.2
1018,11.7,30.0
1019,9.0,40.9
1021,3.6,23.9
1022,0.9,29.9
1023,2.3,30.8
1024,5.5,27.4
1025,7.3,27.4
1026,0.2,47.1
1027,0.2,39.7
1028,0.2,46.3
1031,2.9,25.3
1032,2.6,24.4
1033,5.7,26.2
1034,6.0,28.1
1035,4.3,34.2
1036,0.4,40.9
1037,0.1,null
1041,0.0,null
1042,0.0,null
1043,0.0,null
1044,0.0,null
1045,0.1,null
1046,0.0,null
1047,0.0,null
1051,7.6,28.6
1052,7.2,28.2
1053,9.9,25.9
1054,10.1,33.3
1055,11.1,24.7
1056,11.4,24.9
1057,9.9,25.4
1058,8.8,31.6
1059,3.6,30.0
1060,3.9,41.2
1061,5.7,24.3
1062,4.0,29.0
1063,5.9,24.9
1064,7.5,26.5
1065,5.1,26.6
1066,7.8,35.0
1067,7.4,28.2
1068,8.2,26.3
1069,10.8,28.2
1071,6.8,51.3
1072,8.8,27.0
1073,8.3,26.3
1074,5.0,27.0
1075,5.7,42.4
1076,6.1,32.2
1077,4.7,58.3
1078,8.4,33.6
1079,8.5,28.6
1081,2.8,37.8
1082,5.5,34.0
1083,3.4,32.0
1086,1.5,41.9
1087,6.4,41.5
1091,9.0,27.3
1092,4.7,26.5
1093,4.7,25.1
1094,6.9,25.1
1095,5.7,23.7
1096,1.7,25.0
1097,7.5,26.4
1098,7.3,35.8
1099,0.0,null
1101,0.1,null
1102,11.8,21.9
1103,6.8,25.9
1104,6.2,24.0
1105,0.0,null
1106,8.4,28.0
1107,5.7,27.5
1108,1.7,28.3
1109,0.6,37.0
1111,6.5,31.9
1112,4.3,28.6
1113,1.5,40.0
1114,0.0,null
1115,2.3,35.9
1117,0.0,null
1118,0.0,null
1119,0.0,null
1121,3.9,40.9
1127,0.3,48.1
1131,4.2,32.8
1132,4.3,47.5
1135,3.0,37.5
1141,4.1,39.3
1145,0.1,null
1151,1.1,46.7
1153,0.1,63.4
1154,0.1,null
1156,0.8,38.0
1161,3.4,35.0
1165,1.0,38.0
1171,5.3,41.7
1175,0.4,40.6
1181,8.7,44.8
1182,1.7,44.7
1183,7.1,27.3
1184,0.2,54.7
1185,5.3,34.8
1186,6.4,35.6
1187,6.8,44.5
1188,3.3,39.3
1189,0.2,43.0
1191,3.4,47.9
1211,5.1,27.9
1212,1.8,26.2
1213,2.6,57.5
1214,3.4,33.4
1215,4.5,39.8
1216,4.3,33.2
1217,3.2,56.8
1218,1.8,37.5
1221,4.0,28.0
1222,5.4,30.2
1223,4.6,33.9
1231,3.6,41.7
1241,2.8,40.4
1243,0.6,39.2
1244,0.6,40.9
1251,4.6,50.6
1252,0.1,59.3
1261,4.1,50.5
1271,3.5,38.0
1272,2.5,57.0
1273,4.0,34.6
1274,3.0,34.3
1275,0.9,35.9
1276,3.0,34.6
1277,0.9,44.8
1309,0.0,null
1311,2.0,35.5
1312,2.9,37.3
1313,1.8,36.2
1314,2.8,27.5
1315,1.9,27.9
1316,1.7,40.5
1317,1.8,30.8
1318,3.5,36.6
1319,2.0,45.5
1321,3.5,38.8
1322,0.0,null
1323,2.7,33.9
1324,4.6,28.0
1325,4.4,36.3
1326,4.5,36.7
1328,3.8,36.8
1329,0.0,null
1331,0.1,null
1332,0.0,null
1333,5.2,32.4
1334,0.8,25.6
1335,4.6,36.5
